region,date,cases,deaths
Norway,2020-05-05,38,0
Norway,2020-05-03,0,0
Norway,2020-05-02,49,0
Norway,2020-04-28,28,0
Norway,2020-04-27,38,0
Norway,2020-04-21,45,0
Norway,2020-04-18,0,0
Norway,2020-03-23,206,0
Norway,2020-03-22,184,0
Norway,2020-03-19,115,0
Norway,2020-03-18,139,0
Norway,2020-03-16,170,0
Norway,2020-03-15,286,0
Norway,2020-03-14,0,0
Norway,2020-03-12,212,0
Norway,2020-03-11,85,0
Norway,2020-03-10,23,0
Norway,2020-03-09,22,0
Norway,2020-03-08,34,0
Norway,2020-03-07,27,0
Norway,2020-03-06,30,0
Norway,2020-03-05,23,0
Norway,2020-03-04,8,0
Norway,2020-03-03,6,0
Norway,2020-03-02,4,0
Norway,2020-03-01,9,0
Norway,2020-02-29,2,0
Norway,2020-02-28,3,0
Norway,2020-02-27,1,0
Norway,2020-02-26,0,0
Norway,2020-02-25,0,0
Norway,2020-02-24,0,0
Norway,2020-02-23,0,0
Norway,2020-02-22,0,0
Norway,2020-02-21,0,0
Norway,2020-02-20,0,0
Norway,2020-02-19,0,0
Norway,2020-02-18,0,0
Norway,2020-02-17,0,0
Norway,2020-02-16,0,0
Norway,2020-02-15,0,0
Norway,2020-02-14,0,0
Norway,2020-02-13,0,0
Norway,2020-02-12,0,0
Norway,2020-02-11,0,0
Norway,2020-02-10,0,0
Norway,2020-02-09,0,0
Norway,2020-02-08,0,0
Norway,2020-02-07,0,0
Norway,2020-02-06,0,0
Norway,2020-02-05,0,0
Norway,2020-02-04,0,0
Norway,2020-02-03,0,0
Norway,2020-02-02,0,0
Norway,2020-02-01,0,0
Norway,2020-01-31,0,0
Norway,2020-01-30,0,0
Norway,2020-01-29,0,0
Norway,2020-01-28,0,0
Norway,2020-01-27,0,0
Norway,2020-01-26,0,0
Norway,2020-01-25,0,0
Norway,2020-01-24,0,0
Norway,2020-01-23,0,0
Norway,2020-01-22,0,0
Norway,2020-01-21,0,0
Norway,2020-01-20,0,0
Norway,2020-01-19,0,0
Norway,2020-01-18,0,0
Norway,2020-01-17,0,0
Norway,2020-01-16,0,0
Norway,2020-01-15,0,0
Norway,2020-01-14,0,0
Norway,2020-01-13,0,0
Norway,2020-01-12,0,0
Norway,2020-01-11,0,0
Norway,2020-01-10,0,0
Norway,2020-01-09,0,0
Norway,2020-01-08,0,0
Norway,2020-01-07,0,0
Norway,2020-01-06,0,0
Norway,2020-01-05,0,0
Norway,2020-01-04,0,0
Norway,2020-01-03,0,0
Norway,2020-01-02,0,0
Norway,2020-01-01,0,0
Norway,2019-12-31,0,0
Norway,2020-06-19,32,1
Norway,2020-06-18,29,1
Norway,2020-06-09,43,1
Norway,2020-06-05,31,1
Norway,2020-06-03,35,1
Norway,2020-05-29,18,1
Norway,2020-05-23,41,1
Norway,2020-05-21,11,1
Norway,2020-05-19,52,1
Norway,2020-05-14,23,1
Norway,2020-05-06,56,1
Norway,2020-04-07,115,1
Norway,2020-03-24,239,1
Norway,2020-03-21,190,1
Norway,2020-03-13,132,1
Norway,2020-05-01,43,2
Norway,2020-04-29,72,2
Norway,2020-04-26,59,2
Norway,2020-04-04,273,2
Norway,2020-04-01,221,2
Norway,2020-03-30,257,2
Norway,2020-03-28,425,2
Norway,2020-03-27,240,2
Norway,2020-03-26,350,2
Norway,2020-03-25,195,2
Norway,2020-03-17,92,2
Norway,2020-06-12,18,3
Norway,2020-05-15,17,3
Norway,2020-04-16,111,3
Norway,2020-03-20,129,3
Norway,2020-05-13,29,4
Norway,2020-05-11,30,4
Norway,2020-05-09,39,4
Norway,2020-05-04,50,4
Norway,2020-04-11,84,4
Norway,2020-04-02,218,4
Norway,2020-03-31,124,4
Norway,2020-03-29,264,4
Norway,2020-04-13,95,5
Norway,2020-04-23,84,6
Norway,2020-04-20,84,6
Norway,2020-04-17,114,6
Norway,2020-04-12,76,6
Norway,2020-04-05,302,6
Norway,2020-05-12,7,7
Norway,2020-04-30,62,7
Norway,2020-04-10,150,8
Norway,2020-04-06,130,8
Norway,2020-04-22,53,9
Norway,2020-04-08,108,10
Norway,2020-04-03,270,10
